user_id,age,is_male,orig_user_id
0,24,1,1
1,53,0,2
2,23,1,3
3,24,1,4
4,33,0,5
5,42,1,6
6,57,1,7
7,36,1,8
8,29,1,9
9,53,1,10
10,39,0,11
11,28,0,12
12,47,1,13
13,45,1,14
14,49,0,15
15,21,1,16
16,30,1,17
17,35,0,18
18,40,1,19
19,42,0,20
20,26,1,21
21,25,1,22
22,30,0,23
23,21,0,24
24,39,1,25
25,49,1,26
26,40,0,27
27,32,1,28
28,41,1,29
29,7,1,30
30,24,1,31
31,28,0,32
32,23,1,33
33,38,0,34
34,20,0,35
35,19,0,36
36,23,1,37
37,28,0,38
38,41,1,39
39,38,1,40
40,33,1,41
41,30,1,42
42,29,0,43
43,26,1,44
44,29,1,45
45,27,0,46
46,53,1,47
47,45,1,48
48,23,0,49
49,21,1,50
50,28,1,51
51,18,0,52
52,26,1,53
53,22,1,54
54,37,1,55
55,25,1,56
56,16,1,57
57,27,1,58
58,49,1,59
59,50,1,60
60,36,1,61
61,27,0,62
62,31,1,63
63,32,1,64
64,51,0,65
65,23,1,66
66,17,1,67
67,19,1,68
68,24,1,69
69,27,1,70
70,39,1,71
71,48,0,72
72,24,1,73
73,39,1,74
74,24,1,75
75,20,1,76
76,30,1,77
77,26,1,78
78,39,0,79
79,34,0,80
80,21,1,81
81,50,1,82
82,40,1,83
83,32,1,84
84,51,1,85
85,26,1,86
86,47,1,87
87,49,0,88
88,43,0,89
89,60,1,90
90,55,1,91
91,32,1,92
92,48,1,93
93,26,1,94
94,31,1,95
95,25,0,96
96,43,1,97
97,49,0,98
98,20,1,99
99,36,1,100
100,15,1,101
101,38,1,102
102,26,1,103
103,27,1,104
104,24,1,105
105,61,1,106
106,39,1,107
107,44,1,108
108,29,1,109
109,19,1,110
110,57,1,111
111,30,1,112
112,47,1,113
113,27,1,114
114,31,1,115
115,40,1,116
116,20,1,117
117,21,1,118
118,32,1,119
119,47,0,120
120,54,1,121
121,32,0,122
122,48,0,123
123,34,1,124
124,30,1,125
125,28,0,126
126,33,1,127
127,24,0,128
128,36,0,129
129,20,1,130
130,59,0,131
131,24,1,132
132,53,1,133
133,31,1,134
134,23,1,135
135,51,1,136
136,50,1,137
137,46,1,138
138,20,1,139
139,30,0,140
140,49,1,141
141,13,1,142
142,42,1,143
143,53,1,144
144,31,1,145
145,45,1,146
146,40,0,147
147,33,1,148
148,35,0,149
149,20,0,150
150,38,0,151
151,33,0,152
152,25,1,153
153,25,1,154
154,32,0,155
155,25,1,156
156,57,1,157
157,50,1,158
158,23,0,159
159,27,1,160
160,50,1,161
161,25,1,162
162,49,1,163
163,47,1,164
164,20,0,165
165,47,1,166
166,37,1,167
167,48,1,168
168,52,0,169
169,53,0,170
170,48,0,171
171,55,1,172
172,56,1,173
173,30,0,174
174,26,0,175
175,28,1,176
176,20,1,177
177,26,1,178
178,15,1,179
179,22,0,180
180,26,1,181
181,36,1,182
182,33,1,183
183,37,1,184
184,53,0,185
185,39,0,186
186,26,1,187
187,42,1,188
188,32,1,189
189,30,1,190
190,33,1,191
191,42,1,192
192,29,1,193
193,38,1,194
194,42,1,195
195,49,1,196
196,55,1,197
197,21,0,198
198,30,1,199
199,40,1,200
200,27,1,201
201,41,0,202
202,25,0,203
203,52,0,204
204,47,1,205
205,14,0,206
206,39,1,207
207,43,1,208
208,33,0,209
209,39,1,210
210,66,1,211
211,49,0,212
212,33,1,213
213,26,0,214
214,35,1,215
215,22,1,216
216,22,1,217
217,37,1,218
218,32,1,219
219,30,1,220
220,19,1,221
221,29,1,222
222,19,0,223
223,31,0,224
224,51,0,225
225,28,1,226
226,46,1,227
227,21,0,228
228,29,0,229
229,28,0,230
230,48,1,231
231,45,1,232
232,38,1,233
233,60,1,234
234,37,1,235
235,44,0,236
236,49,1,237
237,42,0,238
238,39,1,239
239,23,0,240
240,26,0,241
241,33,1,242
242,33,1,243
243,28,1,244
244,22,1,245
245,19,1,246
246,28,1,247
247,25,1,248
248,25,1,249
249,29,1,250
250,28,1,251
251,42,1,252
252,26,0,253
253,44,1,254
254,23,1,255
255,35,0,256
256,17,1,257
257,19,0,258
258,21,1,259
259,40,0,260
260,28,1,261
261,19,0,262
262,41,1,263
263,36,0,264
264,26,1,265
265,62,0,266
266,23,1,267
267,24,1,268
268,31,0,269
269,18,0,270
270,51,1,271
271,33,1,272
272,50,0,273
273,20,0,274
274,38,1,275
275,21,1,276
276,35,0,277
277,37,0,278
278,33,1,279
279,30,0,280
280,15,0,281
281,22,1,282
282,28,1,283
283,40,1,284
284,25,1,285
285,27,1,286
286,21,1,287
287,34,1,288
288,11,1,289
289,40,1,290
290,19,1,291
291,35,0,292
292,24,1,293
293,34,1,294
294,31,1,295
295,43,0,296
296,29,0,297
297,44,1,298
298,29,1,299
299,26,0,300
300,24,1,301
301,42,1,302
302,19,1,303
303,22,0,304
304,23,1,305
305,45,1,306
306,25,1,307
307,60,1,308
308,40,1,309
309,37,1,310
310,32,1,311
311,48,1,312
312,41,1,313
313,20,0,314
314,31,1,315
